IATA_Code,ICAO_Code,Airline_Name,Source
PV,PNR,,LEGACY
PW,PRF,"Precision Air",IATA
PX,ANG,"Air Niugini",IATA
PY,SLM,,LEGACY
PZ,LAP,"LATAM Airlines Paraguay",IATA
Q3,QER,,LEGACY
Q4,SAE,,LEGACY
Q5,MLA,,LEGACY
Q6,CDP,,LEGACY
Q8,PEC,,LEGACY
Q9,AFU,,LEGACY
QB,GFG,,LEGACY
QC,CRC,"Camair-Co",IATA
QD,DOB,,LEGACY
QF,QFA,"Qantas",IATA
QG,CTV,"Citilink",IATA
QH,BAV,"Bamboo Airways",IATA
QI,IAN,"Ibom Air",IATA
QK,JZA,,LEGACY
QL,RLN,,LEGACY
QM,AML,,LEGACY
QN,ARR,,LEGACY
QO,OGN,,LEGACY
QP,AKJ,"Akasa Air",IATA
QQ,UTY,,LEGACY
QR,QTR,"Qatar Airways",IATA
QS,TVS,"Smartwings",IATA
QT,TPA,,LEGACY
QU,UGX,,LEGACY
QV,LAO,"Lao Airlines",IATA
QW,QDA,"Qingdao Airlines",IATA
QX,QXE,,LEGACY
QY,BCS,"European Air Transport",IATA
QZ,AWQ,,LEGACY
R2,ORB,,LEGACY
R3,SYL,,LEGACY
R5,JAV,"Jordan Aviation",IATA
R6,DNU,"DAT (LT)",IATA
R7,OCA,,LEGACY
R8,RRJ,,LEGACY
RA,RNA,,LEGACY
RB,SYR,"Syrianair",IATA
RC,FLI,"Atlantic Airways",IATA
RD,RYN,,LEGACY
RE,GJM,"Airhub Airlines",IATA
RF,FWL,,LEGACY
RG,VRN,,LEGACY
RH,HKC,"Hong Kong Air Cargo",IATA
RI,MDL,,LEGACY
RJ,RJA,"Royal Jordanian",IATA
RK,RKA,,LEGACY
RL,RFJ,,LEGACY
RM,RNY,,LEGACY
RN,RAB,,LEGACY
RO,ROT,"TAROM",IATA
RP,CHQ,,LEGACY
RQ,KMF,"Kam Air",IATA
RR,RXR,,LEGACY
RS,SKV,,LEGACY
RU,ABW,,LEGACY
RV,CPN,,LEGACY
RW,RPA,,LEGACY
RX,RXI,"Riyadh Air",IATA
RY,RAY,,LEGACY
S0,SAL,,LEGACY
S2,RSH,,LEGACY
S3,BBR,,LEGACY
S4,RZO,"Azores Airlines",IATA
S5,TCF,,LEGACY
S7,SBI,"S7 Airlines",IATA
